iter	Passed	Remaining
0	0	755
1	1	689
2	1	651
3	2	631
4	3	624
5	3	620
6	4	616
7	4	616
8	5	616
9	6	614
10	6	613
11	7	606
12	7	601
13	8	595
14	9	591
15	9	587
16	10	583
17	10	583
18	11	581
19	11	576
20	12	580
21	12	576
22	13	577
23	14	577
24	14	584
25	15	581
26	16	579
27	16	575
28	17	576
29	17	575
30	18	574
31	19	575
32	19	575
33	20	574
34	21	579
35	21	580
36	22	580
37	22	579
38	23	578
39	24	576
40	24	576
41	25	576
42	25	575
43	26	573
44	26	572
45	27	570
46	28	570
47	28	569
48	29	568
49	29	567
50	30	565
51	30	564
52	31	563
53	32	561
54	32	560
55	33	563
56	34	563
57	34	563
58	35	561
59	35	560
60	36	558
61	36	557
62	37	556
63	37	555
64	38	553
65	39	553
66	39	551
67	40	550
68	40	550
69	41	548
70	41	548
71	42	547
72	43	546
73	43	546
74	44	545
75	44	544
76	45	543
77	45	542
78	46	540
79	46	539
80	47	538
81	48	537
82	48	534
83	49	534
84	49	533
85	50	533
86	50	532
87	51	531
88	51	530
89	52	529
90	52	528
91	53	527
92	53	526
93	54	525
94	55	524
95	55	523
96	56	522
97	56	521
98	57	520
99	57	520
100	58	519
101	58	519
102	59	518
103	60	517
104	60	516
105	61	516
106	61	515
107	62	514
108	62	514
109	63	514
110	64	513
111	64	513
112	65	513
113	65	512
114	66	512
115	67	512
116	67	510
117	68	510
118	68	509
119	69	509
120	70	508
121	70	507
122	71	506
123	71	506
124	72	506
125	72	505
126	73	504
127	73	503
128	74	502
129	75	501
130	75	501
131	76	500
132	76	499
133	77	498
134	77	497
135	78	497
136	78	496
137	79	496
138	80	496
139	80	496
140	81	495
141	81	494
142	82	493
143	83	493
144	83	493
145	84	492
146	84	491
147	85	491
148	85	490
149	86	490
150	87	489
151	87	489
152	88	488
153	88	487
154	89	487
155	89	486
156	90	486
157	91	485
158	91	485
159	92	484
160	92	482
161	93	482
162	93	481
163	94	481
164	95	480
165	95	480
166	96	480
167	96	479
168	97	478
169	97	478
170	98	477
171	99	477
172	99	476
173	100	475
174	100	475
175	101	474
176	101	473
177	102	473
178	102	472
179	103	471
180	104	471
181	104	470
182	105	469
183	105	469
184	106	468
185	106	467
186	107	466
187	107	465
188	108	465
189	108	464
190	110	467
191	111	467
192	111	466
193	112	465
194	112	465
195	113	464
196	113	463
197	114	462
198	114	462
199	115	461
200	115	460
201	116	459
202	116	459
203	117	458
204	118	457
205	118	457
206	119	456
207	119	455
208	120	454
209	120	453
210	121	453
211	121	452
212	122	451
213	122	450
214	123	450
215	124	450
216	124	450
217	125	450
218	126	449
219	126	449
220	127	448
221	127	448
222	128	448
223	129	448
224	129	447
225	130	446
226	130	446
227	131	445
228	132	444
229	132	443
230	133	443
231	133	442
232	134	442
233	134	441
234	135	440
235	135	440
236	136	439
237	137	438
238	137	437
239	138	437
240	138	436
241	139	435
242	139	435
243	140	434
244	140	434
245	141	434
246	142	434
247	143	433
248	143	433
249	144	433
250	144	432
251	145	432
252	146	431
253	146	431
254	147	430
255	147	430
256	148	429
257	149	428
258	149	427
259	150	427
260	150	426
261	151	425
262	151	425
263	152	424
264	152	424
265	153	423
266	154	423
267	154	422
268	155	422
269	156	421
270	156	421
271	157	420
272	157	420
273	158	419
274	158	419
275	159	418
276	160	417
277	188	490
278	189	489
279	189	488
280	190	487
281	191	486
282	191	485
283	192	484
284	192	483
285	193	482
286	193	481
287	194	480
288	194	479
289	195	478
290	196	477
291	196	476
292	197	475
293	197	474
294	198	473
295	198	472
296	199	472
297	199	471
298	200	470
299	201	469
300	201	468
301	202	467
302	202	466
303	203	465
304	203	464
305	204	463
306	204	462
307	205	461
308	206	460
309	206	459
310	207	458
311	207	457
312	208	456
313	208	455
314	209	454
315	209	453
316	210	452
317	210	451
318	211	450
319	211	449
320	212	448
321	212	448
322	213	447
323	213	446
324	214	445
325	215	444
326	215	443
327	216	443
328	216	442
329	217	440
330	217	440
331	218	439
332	218	438
333	219	437
334	219	436
335	220	435
336	220	434
337	221	433
338	221	432
339	222	431
340	222	430
341	223	429
342	223	428
343	223	427
344	224	426
345	224	425
346	225	424
347	225	423
348	226	422
349	226	421
350	227	420
351	227	419
352	228	418
353	228	417
354	229	416
355	229	415
356	230	414
357	230	413
358	231	412
359	231	411
360	231	410
361	232	409
362	232	408
363	233	408
364	234	407
365	234	406
366	235	405
367	235	404
368	235	403
369	236	402
370	237	401
371	237	400
372	238	400
373	238	399
374	239	398
375	239	397
376	239	396
377	240	395
378	240	394
379	241	393
380	241	392
381	242	392
382	242	391
383	243	390
384	243	389
385	244	388
386	244	387
387	245	387
388	245	386
389	246	385
390	246	384
391	247	383
392	247	382
393	248	382
394	249	381
395	249	380
396	250	379
397	250	378
398	251	378
399	251	377
400	252	376
401	252	375
402	252	374
403	253	373
404	253	373
405	254	372
406	254	371
407	255	370
408	255	369
409	256	368
410	256	367
411	257	367
412	257	366
413	258	365
414	258	364
415	259	363
416	259	363
417	260	362
418	260	361
419	261	361
420	261	360
421	262	359
422	263	358
423	263	358
424	264	357
425	264	356
426	265	355
427	265	355
428	266	354
429	266	353
430	267	353
431	268	352
432	268	351
433	269	350
434	269	350
435	270	349
436	270	348
437	271	347
438	271	347
439	272	346
440	272	345
441	273	344
442	273	343
443	274	343
444	274	342
445	275	341
446	275	341
447	276	340
448	276	339
449	277	338
450	277	337
451	278	337
452	278	336
453	279	335
454	279	335
455	280	334
456	280	333
457	281	332
458	281	332
459	282	331
460	282	330
461	283	329
462	283	328
463	284	328
464	284	327
465	285	326
466	285	325
467	285	325
468	286	324
469	286	323
470	287	322
471	287	322
472	288	321
473	288	320
474	289	319
475	289	319
476	290	318
477	290	317
478	291	316
479	291	316
480	292	315
481	292	314
482	293	313
483	293	312
484	294	312
485	294	311
486	295	311
487	295	310
488	296	309
489	296	308
490	297	308
491	297	307
492	298	306
493	298	306
494	299	305
495	299	304
496	300	303
497	300	303
498	301	302
499	301	301
500	302	300
501	302	300
502	302	299
503	303	298
504	303	297
505	304	297
506	304	296
507	305	295
508	305	295
509	306	294
510	306	293
511	307	292
512	307	292
513	308	291
514	308	290
515	309	290
516	309	289
517	310	288
518	310	288
519	311	287
520	311	286
521	312	286
522	312	285
523	313	284
524	313	283
525	314	283
526	314	282
527	315	281
528	315	281
529	316	280
530	316	279
531	317	279
532	317	278
533	318	277
534	318	276
535	319	276
536	319	275
537	320	274
538	320	274
539	320	273
540	321	272
541	321	272
542	322	271
543	322	270
544	323	269
545	323	269
546	324	268
547	324	268
548	325	267
549	326	266
550	326	266
551	327	265
552	327	264
553	328	264
554	328	263
555	329	262
556	329	262
557	330	261
558	330	261
559	331	260
560	332	259
561	332	259
562	333	258
563	333	257
564	334	257
565	334	256
566	335	256
